img_name,R,G,B
image2.jpg,154,196,218
image2.jpg,152,197,220
image2.jpg,150,198,221
image2.jpg,148,200,224
image2.jpg,145,201,226
image2.jpg,144,201,228
image2.jpg,143,203,231
image2.jpg,143,202,232
image2.jpg,146,203,233
image2.jpg,147,202,232
image2.jpg,149,203,231
image2.jpg,149,203,227
image2.jpg,150,205,226
image2.jpg,150,206,223
image2.jpg,149,205,220
image2.jpg,149,205,218
image2.jpg,146,206,234
image2.jpg,146,206,232
image2.jpg,148,205,232
image2.jpg,148,206,230
image2.jpg,149,205,228
image2.jpg,151,205,229
image2.jpg,153,208,229
image2.jpg,156,208,229
image2.jpg,155,207,228
image2.jpg,154,209,229
image2.jpg,155,210,230
image2.jpg,155,210,230
image2.jpg,153,210,229
image2.jpg,152,211,229
image2.jpg,152,211,229
image2.jpg,152,210,230
image2.jpg,152,208,231
image2.jpg,153,209,232
image2.jpg,154,210,233
image2.jpg,155,211,234
image2.jpg,154,212,234
image2.jpg,155,213,235
image2.jpg,156,214,236
image2.jpg,157,215,237
image2.jpg,161,217,240
image2.jpg,160,216,239
image2.jpg,159,215,238
image2.jpg,159,214,235
image2.jpg,159,214,235
image2.jpg,161,213,235
image2.jpg,162,214,236
image2.jpg,163,215,237
image2.jpg,160,218,229
image2.jpg,160,218,229
image2.jpg,159,219,229
image2.jpg,157,220,229
image2.jpg,156,220,229
image2.jpg,154,221,229
image2.jpg,154,221,229
image2.jpg,154,221,229
image2.jpg,154,221,229
image2.jpg,154,221,229
image2.jpg,157,221,230
image2.jpg,158,221,230
image2.jpg,162,220,231
image2.jpg,163,220,231
image2.jpg,165,219,231
image2.jpg,165,219,231
image2.jpg,158,225,234
image2.jpg,160,222,233
image2.jpg,164,220,233
image2.jpg,172,220,234
image2.jpg,180,219,236
image2.jpg,183,216,233
image2.jpg,181,212,230
image2.jpg,177,209,224
image2.jpg,176,209,224
image2.jpg,175,211,223
image2.jpg,178,216,227
image2.jpg,177,217,225
image2.jpg,174,214,222
image2.jpg,177,215,224
image2.jpg,178,215,223
image2.jpg,171,208,216
image2.jpg,173,209,225
image2.jpg,174,210,226
image2.jpg,172,208,224
image2.jpg,171,208,224
image2.jpg,174,211,227
image2.jpg,171,208,224
image2.jpg,168,206,219
image2.jpg,170,208,221
image2.jpg,167,205,218
image2.jpg,172,208,222
image2.jpg,168,204,218
image2.jpg,165,201,213
image2.jpg,164,200,212
image2.jpg,169,205,217
image2.jpg,178,212,224
image2.jpg,171,205,217
image2.jpg,177,211,220
image2.jpg,186,220,229
image2.jpg,179,214,220
image2.jpg,173,208,214
image2.jpg,177,210,217
image2.jpg,175,208,213
image2.jpg,162,193,198
image2.jpg,189,219,221
image2.jpg,192,221,219
image2.jpg,170,196,187
image2.jpg,158,182,166
image2.jpg,112,135,107
image2.jpg,108,130,91
image2.jpg,83,105,56
image2.jpg,104,125,68
image2.jpg,75,97,35
image2.jpg,74,93,0
image2.jpg,82,99,0
image2.jpg,93,105,7
image2.jpg,117,124,31
image2.jpg,111,113,29
image2.jpg,118,112,38
image2.jpg,92,76,14
image2.jpg,110,87,35
image2.jpg,164,132,91
image2.jpg,139,100,67
image2.jpg,54,10,0
image2.jpg,103,56,30
image2.jpg,163,112,85
image2.jpg,147,93,65
image2.jpg,158,103,73
image2.jpg,118,61,32
image2.jpg,149,83,61
image2.jpg,152,84,61
image2.jpg,103,33,8
image2.jpg,129,57,32
image2.jpg,114,38,14
image2.jpg,105,28,10
image2.jpg,76,4,0
image2.jpg,68,9,3
image2.jpg,53,13,11
image2.jpg,30,14,14
image2.jpg,114,120,120
image2.jpg,63,85,83
image2.jpg,150,198,218
image2.jpg,148,199,220
image2.jpg,147,199,220
image2.jpg,144,201,221
image2.jpg,144,202,224
image2.jpg,142,202,226
image2.jpg,142,202,226
image2.jpg,143,203,229
image2.jpg,145,203,227
image2.jpg,147,203,228
image2.jpg,149,203,227
image2.jpg,150,205,226
image2.jpg,150,205,225
image2.jpg,151,207,224
image2.jpg,150,207,224
image2.jpg,150,208,222
image2.jpg,146,208,231
image2.jpg,146,208,229
image2.jpg,148,209,230
image2.jpg,147,208,227
image2.jpg,149,208,226
image2.jpg,149,208,226
image2.jpg,151,208,225
image2.jpg,152,209,226
image2.jpg,151,209,223
image2.jpg,152,210,224
image2.jpg,153,211,225
image2.jpg,153,212,226
image2.jpg,152,211,225
image2.jpg,150,212,225
image2.jpg,150,212,227
image2.jpg,151,213,228
image2.jpg,153,208,228
image2.jpg,154,209,229
image2.jpg,155,210,230
image2.jpg,156,211,231
image2.jpg,157,212,232
image2.jpg,156,213,232
image2.jpg,157,214,233
image2.jpg,158,215,234
image2.jpg,160,217,236
image2.jpg,160,215,235
image2.jpg,159,214,234
image2.jpg,159,215,232
image2.jpg,161,214,232
image2.jpg,161,214,232
image2.jpg,163,214,233
image2.jpg,164,215,234
image2.jpg,160,218,232
image2.jpg,160,218,232
image2.jpg,159,217,231
image2.jpg,158,217,231
image2.jpg,158,217,231
image2.jpg,157,219,230
image2.jpg,157,219,230
image2.jpg,157,219,230
image2.jpg,156,218,229
image2.jpg,159,219,229
image2.jpg,160,218,229
image2.jpg,162,219,230
image2.jpg,165,219,231
image2.jpg,166,218,231
image2.jpg,169,218,232
image2.jpg,169,218,232
image2.jpg,164,217,223
image2.jpg,168,218,225
image2.jpg,173,217,226
image2.jpg,177,215,226
image2.jpg,179,211,224
image2.jpg,182,210,224
image2.jpg,184,210,225
image2.jpg,185,213,227
image2.jpg,179,208,222
image2.jpg,180,212,223
image2.jpg,178,212,222
image2.jpg,174,211,220
image2.jpg,179,213,223
image2.jpg,181,213,224
image2.jpg,181,211,222
image2.jpg,182,212,223
image2.jpg,180,213,230
image2.jpg,177,210,225
image2.jpg,177,210,225
image2.jpg,173,206,221
image2.jpg,173,206,221
image2.jpg,173,206,221
image2.jpg,169,203,215
image2.jpg,177,211,223
image2.jpg,171,205,217
image2.jpg,174,206,217
image2.jpg,174,206,217
